[11080:1152:0316/005156.038:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=ZK-IC4Z-75XX&asin=B084ZDKZBQ&productType=GUILD_APPAREL (65)
[11080:1152:0316/005157.106:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005157.151:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=WL-BE9Z-UVRX&asin=B084X5FR58&productType=GUILD_APPAREL (65)
[11080:1152:0316/005157.152:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=WL-BE9Z-UVRX&asin=B084X5FR58&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005158.621:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005158.652:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=X3-4LQB-KXGI&asin=B084WPZGGZ&productType=GUILD_APPAREL (65)
[11080:1152:0316/005158.654:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=X3-4LQB-KXGI&asin=B084WPZGGZ&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005352.247:WARNING:pref_notifier_impl.cc(40)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
[11080:1152:0316/005352.247:WARNING:pref_notifier_impl.cc(40)] Pref observer for browser.relaunch_notification_period found at shutdown.
